shakespeare,modern
"Why , man , he doth bestride the narrow world Like a Colossus , and we petty men Walk under his huge legs and peep about To find ourselves dishonorable graves .","Why , Caesar straddles the narrow world like a giant , and we petty men walk under his huge legs and look forward only to dying dishonorably , as slaves ."
Men at some time are masters of their fates .,Men can be masters of their fate .
"The fault , dear Brutus , is not in our stars But in ourselves , that we are underlings .","It is not destiny's fault , but our own faults , that we're slaves ."
"Brutus and Caesar , what should be in that ""Caesar"" ?","Brutus"" and ""Caesar."" What's so special about ""Caesar"" ?"
Why should that name be sounded more than yours ?,Why should that name be proclaimed more than yours ?
"Write them together , yours is as fair a name .","Write them together , yours is just as good a name ."
"Sound them , it doth become the mouth as well .","Pronounce them , it is just as nice to say ."
Everything is well .,Everything's fine .
"Good night , my lord .","Good night , my lord ."
"Good night , good brother .","Good night , good brother ."
"Good night , Lord Brutus .","Good night , Lord Brutus ."
"Farewell , everyone .","Farewell , everyone ."
Give me the gown .,Give me the gown .
Where is thy instrument ?,Where's your lute ?
Here in the tent .,Here in the tent .
"What , thou speak'st drowsily ?","What , are you sleepy ?"
Call Claudio and some other of my men .,Call Claudio and some of my other men .
I'll have them sleep on cushions in my tent .,I'll have them sleep on cushions in my tent .
Varrus and Claudio !,Varrus and Claudio !
Calls my lord ?,"Did you call , my lord ?"
"I pray you , sirs , lie in my tent and sleep .","Sirs , I ask you to sleep in my tent ."
It may be I shall raise you by and by On business to my brother Cassius .,I might wake you up in a while to send you on an errand to my brother Cassius .
"So please you , we will stand and watch your pleasure .","If you like , we'll stand by and wait to do whatever you need ."
"Look , Lucius , here's the book I sought for so .","Look , Lucius , here's the book I was searching for ."
I put it in the pocket of my gown .,I put it in the pocket of my nightgown .
I was sure your lordship did not give it me .,I was sure that you hadn't given it to me .
"Canst thou hold up thy heavy eyes awhile , And touch thy instrument a strain or two ?",Can you stay awake a bit longer and play a few tunes on your lute ?
"Ay , my lord , an 't please you .","Yes , my lord , if you would like ."
"It does , my boy .","I would , my boy ."
"I trouble thee too much , but thou art willing .","I ask too much of you , but you're always willing ."
"It is my duty , sir .","It's my duty , sir ."
I should not urge thy duty past thy might .,I shouldn't make you do more than you're able .
I know young bloods look for a time of rest .,I know that young men look forward to their rest .
"I have slept , my lord , already .","I've already slept , my lord ."
"It was well done , and thou shalt sleep again .","That was good planning , and you'll sleep some more ."
I will not hold thee long .,I won't keep you very long .
"If I do live , I will be good to thee .","If I live through this , I'll be good to you ."
This is a sleepy tune .,This is a sleepy tune .
"O murderous slumber , Layst thou thy leaden mace upon my boy That plays thee music ? , Gentle knave , good night .","Gentle boy , good night ."
I will not do thee so much wrong to wake thee .,I won't trouble you so much as to wake you .
"And , good boy , good night .","Good night , good boy ."
"Let me see , let me see .","Let me see , let me see ."
Is not the leaf turned down Where I left reading ?,Didn't I turn down the page where I left off reading ?
"Here it is , I think .","Here it is , I think ."
I think it is the weakness of mine eyes That shapes this monstrous apparition .,I think it's my bad eyesight that's making me see this horrible vision .
"It comes upon me. , Art thou any thing ?",It's coming toward me .
"Art thou some god , some angel , or some devil That makest my blood cold and my hair to stare ?","Are you a god , an angel , or a devil , that you make my blood turn cold and my hair stand up ?"
Speak to me what thou art .,Tell me what you are .
"Thy evil spirit , Brutus .","I'm your evil spirit , Brutus ."
Why comest thou ?,Why do you come here ?
To tell thee thou shalt see me at Philippi .,To tell you that you'll see me at Philippi .
"Well , then I shall see thee again ?",Then I'll see you again ?
"Ay , at Philippi .","Yes , at Philippi ."
"Why , I will see thee at Philippi , then .","Alright , then I'll see you at Philippi ."
"Ill spirit , I would hold more talk with thee .","Evil spirit , I want to talk some more ."
Claudio !,Claudio !
"The strings , my lord , are false .",Claudio !
He thinks he still is at his instrument .,He thinks he's still playing his instrument .
"Lucius , awake .","Lucius , wake up !"
My lord ?,My lord ?
"Didst thou dream , Lucius , that thou so criedst out ?","Were you dreaming , Lucius ?"
"My lord , I do not know that I did cry .","My lord , I don't think I cried out ."
"Yes , that thou didst .","Yes , you did ."
Didst thou see any thing ?,Did you see anything ?
"Nothing , my lord .","Nothing , my lord ."
My lord ?,My lord ?
My lord ?,My lord ?
"Why did you so cry out , sirs , in your sleep ?",Why did you cry out in your sleep ?
"Did we , my lord ?","Did we , my lord ?"
Ay .,Yes .
Saw you anything ?,Did you see anything ?
"No , my lord , I saw nothing .","No , my lord , I didn't see anything ."
"Nor I , my lord .","Me neither , my lord ."
Go and commend me to my brother Cassius .,Go to my brother Cassius .
"Bid him set on his powers betimes before , And we will follow .","Order him to advance his forces first thing , and we'll follow ."
"It shall be done , my lord .","Yes , my lord ."
"Now , Antony , our hopes are answered .","Now , Antony , our prayers have been answered ."
You said the enemy would not come down But keep the hills and upper regions .,You said the enemy wouldn't come down but keep to the hills and upper regions .
